"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J3";"CON18_1X18_DUTB_HRS_HIR";1;"Main board";;;
2;"R5";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"50k";;;
3;"D2";"LED_SK6812_EC15_1.5x1.5mm";1;"ANC_led";;;
4;"SW2";"CUS13B";1;"ANC_control";;;
5;"R2,R3";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";2;"5.1K";;;
6;"R4";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"10k";;;
7;"D1";"LED_SK6812_EC15_1.5x1.5mm";1;"power_led";;;
8;"D3";"D_SOD-123";1;"MBR120";;;
9;"C1,C2";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";2;"1uF";;;
10;"J1";"GCT_USB4110-GF-A_REVB";1;"USB_C_Receptacle_USB2.0";;;
11;"J2";"4832.2330";1;"Audio In";;;
12;"SW1";"EVQ_P7_PAN";1;"Power";;;
