"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J11,J16,J14,J13,J10,J12,J15,J9,J17,J18";"TestPoint_Pad_D1.0mm";10;"right_side";;;
2;"C16,C56,C48,C12,C15,C49,C1,C47,C9,C6,C13,C10,C79,C58,C52,C11,C7,C50,C8";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";19;"10uF";;;
3;"J22,J20,J21,J19";"TestPoint_Pad_D1.0mm";4;"ear_sensor";;;
4;"C42,C18,C26,C64,C63,C19,C45,C34,C28,C59,C60,C36";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";12;"22nF";;;
5;"J5";"TestPoint_Pad_D1.0mm";1;"FB_MIC_L_+";;;
6;"R48,R28,R31,R64,R19,R40,R21,R71,R52,R37,R65,R70";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";12;"6.2k";;;
7;"C66,C74,C57,C21,C46,C29,C41,C37,C25,C33,C65,C73";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";12;"4.7nF";;;
8;"C5,C4";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";2;"22pF";;;
9;"C23,C53,C31,C69,C70,C39";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";6;"15nF";;;
10;"J1";"CON18_1X18_DR_SFV_GLE";1;"connectors_board";;;
11;"R54,R58,R15,R32,R41,R59,R55,R25,R34,R16,R23,R12";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";12;"3k";;;
12;"C2,C54,C77,C75,C76,C17,C3";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";7;"1uF";;;
13;"R4";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"6.8K";;;
14;"R38,R45,R61,R62,R66,R63,R35,R26,R50,R36,R22,R67,R17,R46,R29,R18,R27,R60";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";18;"22k";;;
15;"C14,C43";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";2;"470nF";;;
16;"C67,C51,C22,C20,C72,C68,C30,C35,C40,C32,C62,C44,C24,C38,C27,C61,C71,C55";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";18;"33nF";;;
17;"R75,R6,R44,R42,R74,R7";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";6;"10k";;;
18;"J3";"TestPoint_Pad_D1.0mm";1;"FF_MIC_L_+";;;
19;"R39,R69,R68,R20,R30,R51";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";6;"1k";;;
20;"R49,R1,R47,R43,R8,R10,R53,R11,R9";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";9;"2.2k";;;
21;"J7";"TestPoint_Pad_D1.0mm";1;"HP_L_+";;;
22;"R24,R14,R56,R33,R13,R57";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";6;"5.5k";;;
23;"R5,R2,R3";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";3;"100k";;;
24;"J8";"TestPoint_Pad_D1.0mm";1;"HP_L_-";;;
25;"J6";"TestPoint_Pad_D1.0mm";1;"FB_MIC_L_-";;;
26;"R72";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"200";;;
27;"R73";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"68k";;;
28;"C78";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";1;"0.1uF";;;
29;"SW2";"SW_Push_1P1T_NO_CK_KMR2";1;"reset_button";;;
30;"J4";"TestPoint_Pad_D1.0mm";1;"FF_MIC_L_-";;;
31;"D1";"LED_0603_1608Metric";1;"RED";;;
32;"U1";"BM83";1;"BM83";;;
33;"IC1,IC2";"QFN-36_EP_5.9x5.9_Pitch0.4mm";2;"AS3435-EQFM";;;
34;"Y1";"Crystal_SMD_3215-2Pin_3.2x1.5mm";1;"32.768KHz";;;
35;"U2";"TQFN-48-1EP_7x7mm_P0.5mm_EP5.1x5.1mm";1;"ATSAMD21G18_QFN";;;
36;"D2";"D_SOD-123";1;"MBR120";;;
37;"U6";"SOT-23-5";1;"AP2127K-1.8";;;
38;"U7,U8";"SOT-23-5";2;"AP22814AW5";;;
39;"U3";"SOT-23-5";1;"MCP73831T-2ACI/OT";;;
40;"U5";"21-0168E_T822-3_MXM";1;"MAX17048G+T10";;;
41;"U4";"SOT-23-5";1;"SPX3819-3.3";;;
