### Footprint positions - created on Sun Apr 30 22:38:36 2023 ###
### Printed by KiCad version 7.0.1
## Unit = mm, Angle = deg.
## Side : top
Designator    ,      Package                                     ,     Mid X ,     Mid Y ,  Layer,     Rotation
C1       ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  78.8000 , -45.9675 ,  top, 90.0000 
C2       ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  80.6305 , -41.2405 ,  top,  0.0000 
C3       ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  80.6305 , -42.4905 ,  top,  0.0000 
C4       ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  80.1925 , -37.0745 ,  top,-90.0000 
C5       ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  82.4425 , -37.0745 ,  top,-90.0000 
C6       ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  88.0000 , -53.4025 ,  top,  0.0000 
C7       ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  82.8000 , -51.5620 ,  top, 90.0000 
C8       ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  83.4000 , -49.7840 ,  top,  0.0000 
C9       ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  68.1000 , -57.8500 ,  top, 90.0000 
C10      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  69.6000 , -57.8500 ,  top,-90.0000 
C11      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  68.8500 , -60.3500 ,  top,-90.0000 
C12      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  67.3525 , -60.3000 ,  top, 90.0000 
C13      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  70.3525 , -60.3325 ,  top,-90.0000 
C14      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  70.1000 , -63.0975 ,  top,-90.0000 
C15      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  72.7500 , -66.8020 ,  top,-90.0000 
C16      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  70.8660 , -67.5640 ,  top,  0.0000 
C17      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  71.3475 , -65.8000 ,  top, 90.0000 
C18      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  68.3020 , -70.5680 ,  top, 90.0000 
C19      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  66.8020 , -70.5680 ,  top,-90.0000 
C20      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  67.5520 , -65.8180 ,  top,180.0000 
C21      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  69.6440 , -71.8975 ,  top,-90.0000 
C22      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  76.4300 , -68.4530 ,  top,-90.0000 
C23      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  78.4860 , -65.1510 ,  top,  0.0000 
C24      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  74.9300 , -68.4530 ,  top, 90.0000 
C25      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  73.0250 , -70.2310 ,  top,180.0000 
C26      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  79.1145 , -56.6660 ,  top,  0.0000 
C27      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  74.3645 , -57.4160 ,  top,-90.0000 
C28      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  79.1145 , -58.1660 ,  top,180.0000 
C29      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  80.5180 , -59.5375 ,  top,  0.0000 
C30      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  79.1885 , -62.2540 ,  top,  0.0000 
C31      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  74.4220 , -62.9325 ,  top, 90.0000 
C32      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  79.1885 , -63.7540 ,  top,180.0000 
C33      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  75.4380 , -60.1980 ,  top, 90.0000 
C34      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  69.3420 , -47.9375 ,  top, 90.0000 
C35      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  70.0920 , -52.6975 ,  top,  0.0000 
C36      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  70.8660 , -47.9375 ,  top,-90.0000 
C37      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  72.2885 , -46.6155 ,  top, 90.0000 
C38      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  75.1840 , -47.8835 ,  top, 90.0000 
C39      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  75.9460 , -52.6335 ,  top,  0.0000 
C40      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  76.7080 , -47.8835 ,  top,-90.0000 
C41      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  73.0925 , -51.4990 ,  top,180.0000 
C42      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  64.4825 , -50.8500 ,  top, 90.0000 
