Designator,Mid X,Mid Y,Rotation,Layer
C1,78.8,-45.9675,90.0,top
C10,69.6,-57.85,270.0,top
C11,68.85,-60.35,270.0,top
C12,67.3525,-60.3,90.0,top
C13,70.3525,-60.3325,270.0,top
C14,70.1,-63.0975,270.0,top
C15,72.75,-66.802,270.0,top
C16,70.866,-67.564,0.0,top
C17,71.3475,-65.8,90.0,top
C18,68.302,-70.568,90.0,top
C19,66.802,-70.568,270.0,top
C2,80.6305,-41.2405,0.0,top
C20,67.552,-65.818,180.0,top
C21,69.644,-71.8975,270.0,top
C22,76.43,-68.453,270.0,top
C23,78.486,-65.151,0.0,top
C24,74.93,-68.453,90.0,top
C25,73.025,-70.231,180.0,top
C26,79.1145,-56.666,0.0,top
C27,74.3645,-57.416,270.0,top
C28,79.1145,-58.166,180.0,top
C29,80.518,-59.5375,0.0,top
C3,80.6305,-42.4905,0.0,top
C30,79.1885,-62.254,0.0,top
C31,74.422,-62.9325,90.0,top
C32,79.1885,-63.754,180.0,top
C33,75.438,-60.198,90.0,top
C34,69.342,-47.9375,90.0,top
C35,70.092,-52.6975,0.0,top
C36,70.866,-47.9375,270.0,top
C37,72.2885,-46.6155,90.0,top
C38,75.184,-47.8835,90.0,top
C39,75.946,-52.6335,0.0,top
C4,80.1925,-37.0745,270.0,top
C40,76.708,-47.8835,270.0,top
C41,73.0925,-51.499,180.0,top
C42,64.4825,-50.85,90.0,top
C43,61.85,-62.2,270.0,top
C44,63.7325,-55.6,0.0,top
C45,62.9825,-50.85,270.0,top
C46,61.4675,-49.44,90.0,top
C47,59.837665,-57.4,180.0,top
C48,63.8025,-67.4,270.0,top
C49,64.4525,-64.8,270.0,top
C5,82.4425,-37.0745,270.0,top
C50,63.0525,-64.8,90.0,top
C51,58.715,-50.85,90.0,top
C52,61.6525,-64.7675,90.0,top
C53,57.965,-55.6,0.0,top
C54,60.55,-59.4,270.0,top
C55,57.215,-50.85,270.0,top
C56,62.3025,-67.4,90.0,top
C57,60.8325,-54.5,0.0,top
C58,59.15,-59.4,90.0,top
C59,49.6,-63.8525,0.0,top
C6,88.0,-53.4025,0.0,top
C60,53.75375,-70.85,180.0,top
C61,46.0,-60.3,90.0,top
C62,58.43625,-70.0325,90.0,top
C63,49.6,-62.3525,180.0,top
C64,53.75375,-69.35,0.0,top
C65,48.195,-61.0675,180.0,top
C66,57.71875,-67.9025,0.0,top
C67,56.4025,-62.4,0.0,top
C68,50.83625,-69.6,0.0,top
C69,53.5625,-63.9,0.0,top
C7,82.8,-51.562,90.0,top
C70,46.03625,-67.1675,90.0,top
C71,56.4025,-60.9,180.0,top
C72,50.83625,-68.1,180.0,top
C73,56.3625,-59.5,180.0,top
C74,50.86875,-66.4,180.0,top
C75,80.6,-52.1,180.0,top
C76,80.2,-54.4,90.0,top
C77,80.6305,-39.9905,180.0,top
C78,63.5,-34.544,270.0,top
C79,65.0835,-34.544,270.0,top
C8,83.4,-49.784,0.0,top
C9,68.1,-57.85,90.0,top
