"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SW1";"JLS1300-08-1F";1;"jog stick";;;
2;"D1";"LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"LED";;;
3;"R4";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"220";;;
4;"J5";"490107670612";1;"programming";;;
5;"Y1";"Crystal_SMD_5032-2Pin_5.0x3.2mm";1;"8Mhz";;;
6;"C4";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";1;"10uF";;;
7;"SW3";"EVQ_P7_PAN";1;"Volume down";;;
8;"SW2";"EVQ_P7_PAN";1;"Volume up";;;
9;"TP8,TP16,TP13,TP17,TP18,TP3,TP19,TP1,TP7,TP6,TP9,TP15,TP12,TP5,TP4,TP20,TP2,TP14,TP11,TP10";"TestPoint_Pad_D1.0mm";20;"TestPoint";;;
10;"C5";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";1;"0.1uF";;;
11;"U2";"SOT-23-5";1;"AP22814AW5";;;
12;"C3";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";1;"10uf";;;
13;"U1";"QFN-20-1EP_4x4mm_P0.5mm_EP2.6x2.6mm";1;"ATtiny441-M";;;
14;"R2";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"68k";;;
15;"R1";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"10k";;;
16;"J6";"JST_SH_BM02B-SRSS-TB_1x02-1MP_P1.00mm_Vertical";1;"Batt";;;
17;"C1,C2";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";2;"18pF";;;
18;"R3";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"200";;;
